
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\WASDRGMDSMONITORINGRO                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14354434 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VSTF_SQLSERVER_SOURCECONTRIBUTORS                     Alias            S-1-5-21-2127521184-1604012920-1887927527-13372944 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_GFT_RO                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-1230889  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDWBLUEBUILD                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-10131890 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS10-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16207867 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WP7-SOURCE                           Alias            S-1-5-21-2127521184-1604012920-1887927527-10650652 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS10-DASHBOARDADMIN                 Alias            S-1-5-21-2127521184-1604012920-1887927527-16207737 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Specs_O14_RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-6639940  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DDWBLUEBUILD_TS                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-10860681 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-SVCFABKPI-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-20203440 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VSTF_Risk Mgmt Security_Readers                       Alias            S-1-5-21-2127521184-1604012920-1887927527-6260547  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CSMDS_SERVICE_COMPONENT_RW                            Alias            S-1-5-21-2127521184-1604012920-1887927527-9578111  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZUREWATSONSTS-PRODUCTION                             Alias            S-1-5-21-2127521184-1604012920-1887927527-16081025 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_HQ_SOC_SQLUSERS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-15434756 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SWITOOLS_RO                                           Alias            S-1-5-21-2127521184-1604012920-1887927527-17543619 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS49-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-19587515 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\O365SCCPDOMAINUSERS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-17175699 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\msit-autovpn-elite-users                              Alias            S-1-5-21-2127521184-1604012920-1887927527-21245999 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS51-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-20203035 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGCASPRODMON                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-14724091 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS14-DASHBOARDADMIN                 Alias            S-1-5-21-2127521184-1604012920-1887927527-16406637 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CSMDS_Service_RO                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-8576469  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MAVE USERS                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-13072639 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Specs_O15_RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-6634548  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DFS_SAW_Software_RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-14393970 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSC PORTAL WW MEMBERS001                             Alias            S-1-5-21-2127521184-1604012920-1887927527-14671962 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCFS_THRESHOLD_RED_CUSTOMER_RW                      Alias            S-1-5-21-2127521184-1604012920-1887927527-14820435 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ECOSYSTEM-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-19480555 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WM7CP_DocDrop_RO                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-5848241  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SKYPE_WEB_DEMO_PLAYGROUND                             Alias            S-1-5-21-2127521184-1604012920-1887927527-20017760 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VSTF_SCENARIOS_CONTRIBUTORS (DOMAIN LOCAL)            Alias            S-1-5-21-2127521184-1604012920-1887927527-11079131 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG-THR-WTTLOGROSG                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14236027 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SAW_SASService-BUILD_SAWUser                          Alias            S-1-5-21-2127521184-1604012920-1887927527-19130822 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\COMPCENTRALAPI_RO                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-18487810 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WACDATAACCESS                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-14570412 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-UNIVERSAL_STORE                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-16452107 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_TEST_ CERT_2                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-7239595  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\THRIVE_SG_EMP_CORP_AMERICAS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-25191808 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS12-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16406657 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\IRIS_DB_READ_SPROCS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-11296976 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS7-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16207864 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_SD_RW                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-14332525 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SM_MSCOMCMS_THEMEADMIN                                Alias            S-1-5-21-2127521184-1604012920-1887927527-15864344 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS51-DASHBOARDADMIN                 Alias            S-1-5-21-2127521184-1604012920-1887927527-20203036 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SP2                                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-11476979 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_PORTAL_RW_REDMOND                              Alias            S-1-5-21-2127521184-1604012920-1887927527-14310918 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WP7-PLATINUM                         Alias            S-1-5-21-2127521184-1604012920-1887927527-10650648 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-DEV-USERS                                Alias            S-1-5-21-2127521184-1604012920-1887927527-15623486 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS22-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16897966 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\TODOIMDF-CP                                           Alias            S-1-5-21-2127521184-1604012920-1887927527-14575617 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_VSO_RW                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-17852362 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQL_WorkflowTools_Resources                           Alias            S-1-5-21-2127521184-1604012920-1887927527-4840475  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_RE_HISDB_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-3264487  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - MGX_FY12                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-11503526 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG_BUILDS_RO                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-13966269 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS32-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-17355086 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS32-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-17355085 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADITIPROJECT                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-17011589 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACL_IE CAT_READ                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-4968904  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS21-SEARCHER002                    Alias            S-1-5-21-2127521184-1604012920-1887927527-16769842 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_PORTAL_ARCHIVE                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14510599 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGCMSMONITORINGRO                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14354437 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS1-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-15880960 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGCASSTAGEMON001                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-14724095 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MDSSMOKERW                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-12219933 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WPBLUE-PLATINUM                      Alias            S-1-5-21-2127521184-1604012920-1887927527-10140585 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office14OBTriage                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-3457292  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CRP MDS READ ONLY (LOCAL DOMAIN)                      Alias            S-1-5-21-2127521184-1604012920-1887927527-23037436 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CLOUD ANALYTICS USERS                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-15875169 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SSL Testing Domain Local                              Alias            S-1-5-21-2127521184-1604012920-1887927527-10482262 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_PORTAL_RO_REDMOND                              Alias            S-1-5-21-2127521184-1604012920-1887927527-14310917 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Specs_O15_RW                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-6634510  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DXT_COMPONENT_RO                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-17628399 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\$F80VA0-UDUKPTGT4M0I                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-11501839 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS15-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16406640 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\BCDRMANAGERCONTRIBUTORS                               Alias            S-1-5-21-2127521184-1604012920-1887927527-17429680 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\BING TFS CONTRIBUTORS                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14462783 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WP7-ALL                              Alias            S-1-5-21-2127521184-1604012920-1887927527-10650647 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MBD Interop Document Depot Access                     Alias            S-1-5-21-2127521184-1604012920-1887927527-4854470  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS30-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16993352 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS50-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-19776519 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\power                                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-11444559 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\msrn-ftred                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-15269782 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\VSTS TEST SECRET RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-20203053 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN_REL_ESC_ACDC_SOCSYM_R                             Alias            S-1-5-21-2127521184-1604012920-1887927527-12329280 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - GLOBAL MIGRATION_GLOMIG                       Alias            S-1-5-21-2127521184-1604012920-1887927527-11496376 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WIN8_TC_WCS_STORE_R                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-11640904 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Source_O15_RO                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6634516  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CSMDS_CAPACITY_RO                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-11525840 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - ENGINEERING_EXCELLENCE                        Alias            S-1-5-21-2127521184-1604012920-1887927527-11496382 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Project-RO                       Alias            S-1-5-21-2127521184-1604012920-1887927527-6801454  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_DESIGNER_SVR                               Alias            S-1-5-21-2127521184-1604012920-1887927527-1908118  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SAWRoles_SAWUser                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-13449362 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_AUTHOR_SVR                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-1908119  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS50-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-19776514 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Roslyn Drop Access                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-7125322  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\CPS-FED-SG-LOCAL                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-15037877 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLNUGETREADERS                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14390717 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-WAUTIL-RO-12238                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-7806088  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS-WDG-QUICK-TALKS                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-18177933 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WPBLUE-SOURCE-RW                     Alias            S-1-5-21-2127521184-1604012920-1887927527-10140589 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENS-EXPLORER-DATA-SEARCHER                           Alias            S-1-5-21-2127521184-1604012920-1887927527-15597912 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\FIMPerfGroupWith10000Users                            Alias            S-1-5-21-2127521184-1604012920-1887927527-16217823 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_GFT11_RO                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-1230890  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS28-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16897972 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LPA-MSRWEB                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-2319803  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_BUGS_O16_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-9159775  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS37-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-18361361 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OSG-T3T-ROSG                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-14252468 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_SOURCE_RO_REDMOND                              Alias            S-1-5-21-2127521184-1604012920-1887927527-14310661 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGWINFABPRODRO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14479269 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MaddogUsersOrcas                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-2542707  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_Office_CONTRIBUTOR_SVR                            Alias            S-1-5-21-2127521184-1604012920-1887927527-1908120  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Only-RG-14252                                Alias            S-1-5-21-2127521184-1604012920-1887927527-9762033  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MSDNSECURE                                            Alias            S-1-5-21-2127521184-1604012920-1887927527-12133417 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SAWRoles_RDGUser                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-14456588 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\REDMOND-WINPHONE-WBLUE-WTTLOGROSG                     Alias            S-1-5-21-2127521184-1604012920-1887927527-12133380 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGRMPRODVIEWER                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-14683734 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\PILOT REGISTRATION PORTAL ACCESS                      Alias            S-1-5-21-2127521184-1604012920-1887927527-14497020 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WorldClients                                          Alias            S-1-5-21-2127521184-1604012920-1887927527-158181   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ECOSYSTEM-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-19480556 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ADS TFS CONTRIBUTORS                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-10140915 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENS-EXPLORER-USERS                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-15597950 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\DFS_SAW_SCCM_RO                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-17053196 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS28-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16897796 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS1-SEARCHER                        Alias            S-1-5-21-2127521184-1604012920-1887927527-15880956 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCLSE_RSG_RD3                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14428441 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-AZNW-SEARCHER                            Alias            S-1-5-21-2127521184-1604012920-1887927527-22268913 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - WWSMM_FY13                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-11496410 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-ICMCUSTOM-DASHBOARDADMIN                 Alias            S-1-5-21-2127521184-1604012920-1887927527-20470101 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Bugs_O14_RW                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-6639811  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS7-DASHBOARDADMIN                  Alias            S-1-5-21-2127521184-1604012920-1887927527-16207734 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-SSADED-15208                                      Alias            S-1-5-21-2127521184-1604012920-1887927527-10463114 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS14-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16406659 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQL Drop Share Service Accounts                       Alias            S-1-5-21-2127521184-1604012920-1887927527-2931967  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SAW_CloudEnterprise_SAWUser                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16047374 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\SQLInfra_CL_AutoSql_RO                                Alias            S-1-5-21-2127521184-1604012920-1887927527-3243991  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_DROP_O16_RO                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-9159778  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS33-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-17355088 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS12-DASHBOARDADMIN                 Alias            S-1-5-21-2127521184-1604012920-1887927527-16406633 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\PBIVSTS_DROPSHARE_READERS                             Alias            S-1-5-21-2127521184-1604012920-1887927527-25960819 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\MODSHARE                                              Alias            S-1-5-21-2127521184-1604012920-1887927527-10572875 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\HRw_sg_US_1010_emp_corp_nonmgr                        Alias            S-1-5-21-2127521184-1604012920-1887927527-16580306 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\COMPCENTRALAPI_RW                                     Alias            S-1-5-21-2127521184-1604012920-1887927527-18487755 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AD (STB) - FRIENDSPARTNERS001                         Alias            S-1-5-21-2127521184-1604012920-1887927527-9724319  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Redmond-WinPhone-WP8-Silver                           Alias            S-1-5-21-2127521184-1604012920-1887927527-7205159  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WDGIS VSO WIDE ACCESS                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-24912312 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS21-USERS                          Alias            S-1-5-21-2127521184-1604012920-1887927527-16769929 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AD (STB) - FTE                                        Alias            S-1-5-21-2127521184-1604012920-1887927527-9724465  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\THRIVE_SG_EMP_CORP_GLOBAL                             Alias            S-1-5-21-2127521184-1604012920-1887927527-25191759 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\Office_Portal_O14_RW                                  Alias            S-1-5-21-2127521184-1604012920-1887927527-6639898  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-CAS-USERS                                Alias            S-1-5-21-2127521184-1604012920-1887927527-16168888 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-CAS-SEARCHER                             Alias            S-1-5-21-2127521184-1604012920-1887927527-16168763 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS24-SEARCHER                       Alias            S-1-5-21-2127521184-1604012920-1887927527-16897787 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\OFFICE_BUG_RW_REDMOND                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-14310664 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\ACMDS - WWSMM                                         Alias            S-1-5-21-2127521184-1604012920-1887927527-11496440 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\GEMINIIMDF-HALFMAIN                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-16814516 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED-BPG-R                                             Alias            S-1-5-21-2127521184-1604012920-1887927527-771112   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS9-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16207866 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Only-RG-18271                                Alias            S-1-5-21-2127521184-1604012920-1887927527-13872854 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCLSE_RSG_CAZ                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14207993 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-DEV-SEARCHER                             Alias            S-1-5-21-2127521184-1604012920-1887927527-15623461 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WSSCLSE_RSG_INT                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-14428438 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WP_TEXUS_REPORTING                                    Alias            S-1-5-21-2127521184-1604012920-1887927527-8354823  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\LENSEXPLORER-REPORTS4-USERS                           Alias            S-1-5-21-2127521184-1604012920-1887927527-16207709 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RED_OfficeWebAuthor                                   Alias            S-1-5-21-2127521184-1604012920-1887927527-590058   Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\RRD-Read Only-RG-9944                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-6318186  Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\WASDRGSECRETSTORETESTRW                               Alias            S-1-5-21-2127521184-1604012920-1887927527-22467652 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\AZURE MEDIA TFS                                       Alias            S-1-5-21-2127521184-1604012920-1887927527-18420390 Mandatory group, Enabled by default, Enabled group, Local Group
REDMOND\EXCELCOSMOSSQLREADERS                                 Alias            S-1-5-21-2127521184-1604012920-1887927527-12069936 Mandatory group, Enabled by default, Enabled group, Local Group
