
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-EXCHANGE-OUTLOOK-READ              Group            S-1-5-21-2127521184-1604012920-1887927527-23324450 Mandatory group, Enabled by default, Enabled group             
REDMOND\CEG_ORG_FTE_REDMOND                                   Group            S-1-5-21-2127521184-1604012920-1887927527-13564859 Mandatory group, Enabled by default, Enabled group             
REDMOND\NT_SIGN                                               Group            S-1-5-21-2127521184-1604012920-1887927527-388472   Mandatory group, Enabled by default, Enabled group             
REDMOND\MODWEBREADONLY                                        Group            S-1-5-21-2127521184-1604012920-1887927527-15663843 Mandatory group, Enabled by default, Enabled group             
REDMOND\OEM_DATA                                              Group            S-1-5-21-2127521184-1604012920-1887927527-3081500  Mandatory group, Enabled by default, Enabled group             
REDMOND\iosEliteMembers                                       Group            S-1-5-21-2127521184-1604012920-1887927527-18644078 Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_ONRAMP_R                                           Group            S-1-5-21-2127521184-1604012920-1887927527-9388633  Mandatory group, Enabled by default, Enabled group             
REDMOND\servicefabrictalk                                     Group            S-1-5-21-2127521184-1604012920-1887927527-20718268 Mandatory group, Enabled by default, Enabled group             
REDMOND\AIUsers                                               Group            S-1-5-21-2127521184-1604012920-1887927527-8106163  Mandatory group, Enabled by default, Enabled group             
REDMOND\NGT_REPORTING_READERS001                              Group            S-1-5-21-2127521184-1604012920-1887927527-18550285 Mandatory group, Enabled by default, Enabled group             
REDMOND\antaressupportadmins                                  Group            S-1-5-21-2127521184-1604012920-1887927527-20866768 Mandatory group, Enabled by default, Enabled group             
REDMOND\KASMDSPRODRO                                          Group            S-1-5-21-2127521184-1604012920-1887927527-15593369 Mandatory group, Enabled by default, Enabled group             
REDMOND\CEMSITESTAKEHOLDER001                                 Group            S-1-5-21-2127521184-1604012920-1887927527-10253589 Mandatory group, Enabled by default, Enabled group             
REDMOND\Forest Wide Domain Users_CORP                         Group            S-1-5-21-2127521184-1604012920-1887927527-4933277  Mandatory group, Enabled by default, Enabled group             
REDMOND\ANTARESDIAGNOSTICS                                    Group            S-1-5-21-2127521184-1604012920-1887927527-21233333 Mandatory group, Enabled by default, Enabled group             
REDMOND\cycfte                                                Group            S-1-5-21-2127521184-1604012920-1887927527-9948670  Mandatory group, Enabled by default, Enabled group             
REDMOND\dcinforeaders                                         Group            S-1-5-21-2127521184-1604012920-1887927527-21947954 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-AZURE-COMMERCE-READ                           Group            S-1-5-21-2127521184-1604012920-1887927527-23544353 Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_RED-FSU_ESBDPUBRPTS_R                              Group            S-1-5-21-2127521184-1604012920-1887927527-16832920 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-CUSTOMERSERVICE-CSSMAST-READ                  Group            S-1-5-21-2127521184-1604012920-1887927527-23356397 Mandatory group, Enabled by default, Enabled group             
REDMOND\VSOEngRptUsers                                        Group            S-1-5-21-2127521184-1604012920-1887927527-13419062 Mandatory group, Enabled by default, Enabled group             
REDMOND\Corp Users                                            Group            S-1-5-21-2127521184-1604012920-1887927527-1421044  Mandatory group, Enabled by default, Enabled group             
REDMOND\acomcontrib                                           Group            S-1-5-21-2127521184-1604012920-1887927527-26023180 Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-lp-admin                                         Group            S-1-5-21-2127521184-1604012920-1887927527-24164469 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-OFFICE-READ                   Group            S-1-5-21-2127521184-1604012920-1887927527-23399402 Mandatory group, Enabled by default, Enabled group             
REDMOND\MSODS_PHX_DW_RO                                       Group            S-1-5-21-2127521184-1604012920-1887927527-8947276  Mandatory group, Enabled by default, Enabled group             
REDMOND\LENSEXPLORER-REPORTS21-SEARCHER                       Group            S-1-5-21-2127521184-1604012920-1887927527-16769880 Mandatory group, Enabled by default, Enabled group             
REDMOND\ISRMRPTOPEN                                           Group            S-1-5-21-2127521184-1604012920-1887927527-13104022 Mandatory group, Enabled by default, Enabled group             
